分类,级别,类型,简称,全称,出版社,网址
网络与信息安全,C,会议,DIMVA,Conference on Detection of Intrusions and Malware & Vulnerability Assessment,Springer,http://dblp.uni-trier.de/db/conf/dimva/
网络与信息安全,C,会议,DFRWS,Digital Forensic Research Workshop,Elsevier,http://dblp.uni-trier.de/db/conf/dfrws/
网络与信息安全,C,会议,FC,Financial Cryptography and Data Security,Springer,http://dblp.uni-trier.de/db/conf/fc/
网络与信息安全,C,会议,TrustCom,IEEE International Conference on Trust Security and Privacy in Computing and Communications,IEEE,http://dblp.uni-trier.de/db/conf/trustcom/
网络与信息安全,C,会议,SEC,IFIP International Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/sec/
软件工程/系统软件/程序设计语言,A,期刊,TOPLAS,ACM Transactions on Programming Languages and Systems,ACM,http://dblp.uni-trier.de/db/journals/toplas/
软件工程/系统软件/程序设计语言,A,期刊,TOSEM,ACM Transactions on Software Engineering and Methodology,ACM,http://dblp.uni-trier.de/db/journals/tosem/
软件工程/系统软件/程序设计语言,A,期刊,TSE,IEEE Transactions on Software Engineering,IEEE,http://dblp.uni-trier.de/db/journals/tse/
软件工程/系统软件/程序设计语言,A,期刊,TSC,IEEE Transactions on Services Computing,IEEE,http://dblp.uni-trier.de/db/journals/tsc/
软件工程/系统软件/程序设计语言,B,期刊,ASE,Automated Software Engineering,Springer,http://dblp.uni-trier.de/db/journals/ase/
软件工程/系统软件/程序设计语言,B,期刊,ESE,Empirical Software Engineering,Springer,http://dblp.uni-trier.de/db/journals/ese/
软件工程/系统软件/程序设计语言,B,期刊,IETS,IET Software,IET,https://dblp.uni-trier.de/db/journals/iet-sen/
软件工程/系统软件/程序设计语言,B,期刊,IST,Information and Software Technology,Elsevier,http://dblp.uni-trier.de/db/journals/infosof/index.html
软件工程/系统软件/程序设计语言,B,期刊,JFP,Journal of Functional Programming,Cambridge University Press,http://dblp.uni-trier.de/db/journals/jfp/
软件工程/系统软件/程序设计语言,B,期刊,Journal of Software: Evolution and Process,Journal of Software: Evolution and Process,Wiley,http://dblp.uni-trier.de/db/journals/smr/
软件工程/系统软件/程序设计语言,B,期刊,JSS,Journal of Systems and Software,Elsevier,http://dblp.uni-trier.de/db/journals/jss/
软件工程/系统软件/程序设计语言,B,期刊,RE,Requirements Engineering,Springer,http://dblp.uni-trier.de/db/journals/re/
软件工程/系统软件/程序设计语言,B,期刊,SCP,Science of Computer Programming,Elsevier,http://dblp.uni-trier.de/db/journals/scp/
软件工程/系统软件/程序设计语言,B,期刊,SoSyM,Software and Systems Modeling,Springer,http://dblp.uni-trier.de/db/journals/sosym/
软件工程/系统软件/程序设计语言,B,期刊,STVR,Software Testing Verification and Reliability,Wiley,http://dblp.uni-trier.de/db/journals/stvr/index.html
软件工程/系统软件/程序设计语言,B,期刊,SPE,Software: Practice and Experience,Wiley,http://dblp.uni-trier.de/db/journals/spe/
软件工程/系统软件/程序设计语言,C,期刊,CL,Computer Languages Systems and Structures,Elsevier,http://dblp.uni-trier.de/db/journals/cl/index.html
软件工程/系统软件/程序设计语言,C,期刊,IJSEKE,International Journal of Software Engineering and Knowledge Engineering,World Scientific,http://dblp.uni-trier.de/db/journals/ijseke/index.html
软件工程/系统软件/程序设计语言,C,期刊,STTT,International Journal of Software Tools for Technology Transfer,Springer,http://dblp.uni-trier.de/db/journals/sttt/
软件工程/系统软件/程序设计语言,C,期刊,JLAMP,Journal of Logical and Algebraic Methods in Programming,Elsevier,https://dblp.uni-trier.de/db/journals/jlap/index.html
软件工程/系统软件/程序设计语言,C,期刊,JWE,Journal of Web Engineering,Rinton Press,http://dblp.uni-trier.de/db/journals/jwe/
软件工程/系统软件/程序设计语言,C,期刊,SOCA,Service Oriented Computing and Applications,Springer,http://dblp.uni-trier.de/db/journals/soca/
软件工程/系统软件/程序设计语言,C,期刊,SQJ,Software Quality Journal,Springer,http://dblp.uni-trier.de/db/journals/sqj/
软件工程/系统软件/程序设计语言,C,期刊,TPLI,Theory and Practice of Logic Programming,Cambridge University Press,http://dblp.uni-trier.de/db/journals/tplp/
软件工程/系统软件/程序设计语言,C,期刊,PACMPL,Proceedings of the ACM on Programming Languages,ACM,https://dblp.org/db/journals/pacmpl/index.html
软件工程/系统软件/程序设计语言,A,会议,PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,ACM,http://dblp.uni-trier.de/db/conf/pldi/
软件工程/系统软件/程序设计语言,A,会议,POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,ACM,http://dblp.uni-trier.de/db/conf/popl/
软件工程/系统软件/程序设计语言,A,会议,FSE,ACM International Conference on the Foundations of Software Engineering,ACM,http://dblp.uni-trier.de/db/conf/sigsoft/
软件工程/系统软件/程序设计语言,A,会议,SOSP,ACM Symposium on Operating Systems Principles,ACM,http://dblp.uni-trier.de/db/conf/sosp/
软件工程/系统软件/程序设计语言,A,会议,OOPSLA,Conference on Object-Oriented Programming Systems Languages and Applications,ACM,http://dblp.uni-trier.de/db/conf/oopsla/
软件工程/系统软件/程序设计语言,A,会议,ASE,International Conference on Automated Software Engineering,IEEE/ACM,http://dblp.uni-trier.de/db/conf/kbse/
软件工程/系统软件/程序设计语言,A,会议,ICSE,International Conference on Software Engineering,IEEE/ACM,http://dblp.uni-trier.de/db/conf/icse/
软件工程/系统软件/程序设计语言,A,会议,ISSTA,International Symposium on Software Testing and Analysis,ACM,http://dblp.uni-trier.de/db/conf/issta/
软件工程/系统软件/程序设计语言,A,会议,OSDI,USENIX Symposium on Operating Systems Design and Implementation,USENIX,http://dblp.uni-trier.de/db/conf/osdi/
软件工程/系统软件/程序设计语言,A,会议,FM,International Symposium on Formal Methods,FME,http://dblp.uni-trier.de/db/conf/fm/
软件工程/系统软件/程序设计语言,B,会议,ECOOP,European Conference on Object-Oriented Programming,AITO,http://dblp.uni-trier.de/db/conf/ecoop/
软件工程/系统软件/程序设计语言,B,会议,ETAPS,European Joint Conferences on Theory and Practice of Software,Springer,http://dblp.uni-trier.de/db/conf/etaps/
软件工程/系统软件/程序设计语言,B,会议,ICPC,IEEE International Conference on Program Comprehension,IEEE,http://dblp.uni-trier.de/db/conf/iwpc/
软件工程/系统软件/程序设计语言,B,会议,RE,IEEE International Requirements Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/re/
软件工程/系统软件/程序设计语言,B,会议,CAiSE,International Conference on Advanced Information Systems Engineering,Springer,http://dblp.uni-trier.de/db/conf/caise/
软件工程/系统软件/程序设计语言,B,会议,ICFP,ACM SIGPLAN International Conference on Function Programming,ACM,http://dblp.uni-trier.de/db/conf/icfp/
软件工程/系统软件/程序设计语言,B,会议,LCTES,ACM SIGPLAN/SIGBED International Conference on Languages Compilers and Tools for Embedded Systems,ACM,http://dblp.uni-trier.de/db/conf/lctrts/
软件工程/系统软件/程序设计语言,B,会议,MoDELS,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,IEEE/ACM,http://dblp.uni-trier.de/db/conf/models/
软件工程/系统软件/程序设计语言,B,会议,CP,International Conference on Principles and Practice of Constraint Programming,Springer,http://dblp.uni-trier.de/db/conf/cp/
软件工程/系统软件/程序设计语言,B,会议,ICSOC,International Conference on Service Oriented Computing,Springer,http://dblp.uni-trier.de/db/conf/icsoc/
软件工程/系统软件/程序设计语言,B,会议,SANER,IEEE International Conference on Software Analysis Evolution and Reengineering,IEEE,http://dblp.uni-trier.de/db/conf/wcre/
软件工程/系统软件/程序设计语言,B,会议,ICSME,International Conference on Software Maintenance and Evolution,IEEE,http://dblp.uni-trier.de/db/conf/icsm/
软件工程/系统软件/程序设计语言,B,会议,VMCAI,International Conference on Verification Model Checking and Abstract Interpretation,Springer,http://dblp.uni-trier.de/db/conf/vmcai/
软件工程/系统软件/程序设计语言,B,会议,ICWS,IEEE International Conference on Web Services,IEEE,http://dblp.uni-trier.de/db/conf/icws/
软件工程/系统软件/程序设计语言,B,会议,Middleware,International Middleware Conference,ACM/IFIP/USENIX,http://dblp.uni-trier.de/db/conf/middleware/
软件工程/系统软件/程序设计语言,B,会议,SAS,International Static Analysis Symposium,Springer,http://dblp.uni-trier.de/db/conf/sas/
软件工程/系统软件/程序设计语言,B,会议,ESEM,International Symposium on Empirical Software Engineering and Measurement,IEEE/ACM,http://dblp.uni-trier.de/db/conf/esem/
软件工程/系统软件/程序设计语言,B,会议,ISSRE,IEEE International Symposium on Software Reliability Engineering,IEEE,http://dblp.uni-trier.de/db/conf/issre/
软件工程/系统软件/程序设计语言,B,会议,HotOS,USENIX Workshop on Hot Topics in Operating Systems,USENIX,http://dblp.uni-trier.de/db/conf/hotos/
软件工程/系统软件/程序设计语言,B,会议,CC,International Conference on Compiler Construction,ACM,https://dblp.uni-trier.de/db/conf/cc/index.html
软件工程/系统软件/程序设计语言,C,会议,PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,ACM,http://dblp.uni-trier.de/db/conf/pepm/
软件工程/系统软件/程序设计语言,C,会议,PASTE,ACM SIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,ACM,http://dblp.uni-trier.de/db/conf/paste/
软件工程/系统软件/程序设计语言,C,会议,APLAS,Asian Symposium on Programming Languages and Systems,Springer,http://dblp.uni-trier.de/db/conf/aplas/
软件工程/系统软件/程序设计语言,C,会议,APSEC,Asia-Pacific Software Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/apsec/
软件工程/系统软件/程序设计语言,C,会议,EASE,International Conference on Evaluation and Assessment in Software Engineering,ACM,http://dblp.uni-trier.de/db/conf/ease/
软件工程/系统软件/程序设计语言,C,会议,ICECCS,International Conference on Engineering of Complex Computer Systems,IEEE,http://dblp.uni-trier.de/db/conf/iceccs/
软件工程/系统软件/程序设计语言,C,会议,ICST,IEEE International Conference on Software Testing Verification and Validation,IEEE,http://dblp.uni-trier.de/db/conf/icst/
软件工程/系统软件/程序设计语言,C,会议,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,IEEE,http://dblp.uni-trier.de/db/conf/ispass/
软件工程/系统软件/程序设计语言,C,会议,SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,IEEE,http://dblp.uni-trier.de/db/conf/scam/
软件工程/系统软件/程序设计语言,C,会议,COMPSAC,International Computer Software and Applications Conference,IEEE,http://dblp.uni-trier.de/db/conf/compsac/
软件工程/系统软件/程序设计语言,C,会议,ICFEM,International Conference on Formal Engineering Methods,Springer,http://dblp.uni-trier.de/db/conf/icfem/
软件工程/系统软件/程序设计语言,C,会议,SSE,IEEE International Conference on Software Services Engineering,IEEE,http://dblp.uni-trier.de/db/conf/IEEEscc/
软件工程/系统软件/程序设计语言,C,会议,ICSSP,International Conference on Software and System Process,ACM,https://dblp.uni-trier.de/db/conf/ispw/index.html
软件工程/系统软件/程序设计语言,C,会议,SEKE,International Conference on Software Engineering and Knowledge Engineering,KSI,http://dblp.uni-trier.de/db/conf/seke/
软件工程/系统软件/程序设计语言,C,会议,QRS,International Conference on Software Quality Reliability and Security,IEEE,https://dblp.uni-trier.de/db/conf/qrs/
软件工程/系统软件/程序设计语言,C,会议,ICSR,International Conference on Software Reuse,Springer,http://dblp.uni-trier.de/db/conf/icsr/
软件工程/系统软件/程序设计语言,C,会议,ICWE,International Conference on Web Engineering,Springer,http://dblp.uni-trier.de/db/conf/icwe/
软件工程/系统软件/程序设计语言,C,会议,SPIN,International Symposium on Model Checking of Software,Springer,http://dblp.uni-trier.de/db/conf/spin/index.html
软件工程/系统软件/程序设计语言,C,会议,ATVA,International Symposium on Automated Technology for Verification and Analysis,Springer,http://dblp.uni-trier.de/db/conf/atva/
软件工程/系统软件/程序设计语言,C,会议,LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,Springer,http://dblp.uni-trier.de/db/conf/lopstr/
软件工程/系统软件/程序设计语言,C,会议,TASE,Theoretical Aspects of Software Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/tase/
软件工程/系统软件/程序设计语言,C,会议,MSR,Mining Software Repositories,IEEE/ACM,http://dblp.uni-trier.de/db/conf/msr/
软件工程/系统软件/程序设计语言,C,会议,REFSQ,Requirements Engineering: Foundation for Software Quality,Springer,http://dblp.uni-trier.de/db/conf/refsq/
软件工程/系统软件/程序设计语言,C,会议,WICSA,Working IEEE/IFIP Conference on Software Architecture,IEEE,http://dblp.uni-trier.de/db/conf/wicsa/
软件工程/系统软件/程序设计语言,C,会议,Internetware,Asia-Pacific Symposium on Internetware,ACM,https://dblp.org/db/conf/internetware/index.html
软件工程/系统软件/程序设计语言,C,会议,RV,International Conference on Runtime Verification,Springer,https://dblp.org/db/conf/rv/index.html
软件工程/系统软件/程序设计语言,C,会议,MEMOCODE,International Conference on Formal Methods and Models for Co-Design,IEEE/ACM,https://dblp.uni-trier.de/db/conf/memoocode/index.html
数据库/数据挖掘/内容检索,A,期刊,TODS,ACM Transactions on Database Systems,ACM,http://dblp.uni-trier.de/db/journals/tods/
数据库/数据挖掘/内容检索,A,期刊,TOIS,ACM Transactions on Information Systems,ACM,http://dblp.uni-trier.de/db/journals/tois/
数据库/数据挖掘/内容检索,A,期刊,TKDE,IEEE Transactions on Knowledge and Data Engineering,IEEE,http://dblp.uni-trier.de/db/journals/tkde/
数据库/数据挖掘/内容检索,A,期刊,VLDBJ,The VLDB Journal,Springer,http://dblp.uni-trier.de/db/journals/vldb/
数据库/数据挖掘/内容检索,B,期刊,TKDD,ACM Transactions on Knowledge Discovery from Data,ACM,http://dblp.uni-trier.de/db/journals/tkdd/
数据库/数据挖掘/内容检索,B,期刊,TWEB,ACM Transactions on the Web,ACM,http://dblp.uni-trier.de/db/journals/tweb/
数据库/数据挖掘/内容检索,B,期刊,AEI,Advanced Engineering Informatics,Elsevier,http://dblp.uni-trier.de/db/journals/aei/
数据库/数据挖掘/内容检索,B,期刊,DKE,Data & Knowledge Engineering,Elsevier,http://dblp.uni-trier.de/db/journals/dke/
数据库/数据挖掘/内容检索,B,期刊,DMKD,Data Mining and Knowledge Discovery,Springer,http://dblp.uni-trier.de/db/journals/datamine/
数据库/数据挖掘/内容检索,B,期刊,EJIS,European Journal of Information Systems,Springer,http://dblp.uni-trier.de/db/journals/ejis/
数据库/数据挖掘/内容检索,B,期刊,GeoInformatica,GeoInformatica,Springer,http://dblp.uni-trier.de/db/journals/geoinformatica/
数据库/数据挖掘/内容检索,B,期刊,IPM,Information Processing and Management,Elsevier,http://dblp.uni-trier.de/db/journals/ipm/
数据库/数据挖掘/内容检索,B,期刊,Information Sciences,Information Sciences,Elsevier,http://dblp.uni-trier.de/db/journals/isc/
数据库/数据挖掘/内容检索,B,期刊,IS,Information Systems,Elsevier,http://dblp.uni-trier.de/db/journals/is/
数据库/数据挖掘/内容检索,B,期刊,JASIST,Journal of the Association for Information Science and Technology,Wiley,http://dblp.uni-trier.de/db/journals/jasis/
数据库/数据挖掘/内容检索,B,期刊,JWS,Journal of Web Semantics,Elsevier,http://dblp.uni-trier.de/db/journals/jws/
数据库/数据挖掘/内容检索,B,期刊,KAIS,Knowledge and Information Systems,Springer,http://dblp.uni-trier.de/db/journals/kais/
数据库/数据挖掘/内容检索,B,期刊,DSE,Data Science and Engineering,CCF Springer Nature,https://dblp.org/db/journals/dase/index.html
数据库/数据挖掘/内容检索,C,期刊,DPD,Distributed and Parallel Databases,Springer,http://dblp.uni-trier.de/db/journals/dpd/
数据库/数据挖掘/内容检索,C,期刊,I&M,Information & Management,Elsevier,http://dblp.uni-trier.de/db/journals/iam/
数据库/数据挖掘/内容检索,C,期刊,IPL,Information Processing Letters,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/
数据库/数据挖掘/内容检索,C,期刊,Discover Computing,Discover Computing,Springer,http://dblp.uni-trier.de/db/journals/ir/
数据库/数据挖掘/内容检索,C,期刊,IJCIS,International Journal of Cooperative Information Systems,World Scientific,http://dblp.uni-trier.de/db/journals/ijcis/
数据库/数据挖掘/内容检索,C,期刊,IJGIS,International Journal of Geographical Information Science,Taylor & Francis,http://dblp.uni-trier.de/db/journals/gis/
数据库/数据挖掘/内容检索,C,期刊,IJIS,International Journal of Intelligent Systems,Wiley,http://dblp.uni-trier.de/db/journals/ijis/
数据库/数据挖掘/内容检索,C,期刊,IJKM,International Journal of Knowledge Management,IGI,http://dblp.uni-trier.de/db/journals/ijkm/
数据库/数据挖掘/内容检索,C,期刊,IJSWIS,International Journal on Semantic Web and Information Systems,IGI,http://dblp.uni-trier.de/db/journals/ijswis/
数据库/数据挖掘/内容检索,C,期刊,JCIS,Journal of Computer Information Systems,IACIS,http://dblp.uni-trier.de/db/journals/jcis/
数据库/数据挖掘/内容检索,C,期刊,JDM,Journal of Database Management,IGI-Global,http://dblp.uni-trier.de/db/journals/jdm/
数据库/数据挖掘/内容检索,C,期刊,JGITM,Journal of Global Information Technology Management,Ivy League Publishing,https://dblp.org/db/journals/jgim/index.html
数据库/数据挖掘/内容检索,C,期刊,JIIS,Journal of Intelligent Information Systems,Springer,http://dblp.uni-trier.de/db/journals/jiiis/
数据库/数据挖掘/内容检索,C,期刊,JSIS,The Journal of Strategic Information Systems,Elsevier,http://dblp.uni-trier.de/db/journals/jsis/
数据库/数据挖掘/内容检索,C,期刊,TIST,ACM Transactions on Intelligent Systems and Technology,ACM,https://dblp.uni-trier.de/db/journals/tist/index.html
数据库/数据挖掘/内容检索,C,期刊,TORS,ACM Transactions on Recommender Systems,ACM,https://dblp.uni-trier.de/db/journals/tors/index.html
数据库/数据挖掘/内容检索,A,会议,SIGMOD,ACM SIGMOD Conference,ACM,http://dblp.uni-trier.de/db/conf/sigmod/
数据库/数据挖掘/内容检索,A,会议,SIGKDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/kdd/
数据库/数据挖掘/内容检索,A,会议,ICDE,IEEE International Conference on Data Engineering,IEEE,http://dblp.uni-trier.de/db/conf/icde/
数据库/数据挖掘/内容检索,A,会议,SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,ACM,http://dblp.uni-trier.de/db/conf/sigir/
数据库/数据挖掘/内容检索,A,会议,VLDB,International Conference on Very Large Data Bases,Morgan Kaufmann/ACM,http://dblp.uni-trier.de/db/conf/vldb/
数据库/数据挖掘/内容检索,B,会议,CIKM,ACM International Conference on Information and Knowledge Management,ACM,http://dblp.uni-trier.de/db/conf/cikm/
数据库/数据挖掘/内容检索,B,会议,WSDM,ACM International Conference on Web Search and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/wsdm/
数据库/数据挖掘/内容检索,B,会议,PODS,ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,ACM,http://dblp.uni-trier.de/db/conf/pods/
数据库/数据挖掘/内容检索,B,会议,DASFAA,International Conference on Database Systems for Advanced Applications,Springer,http://dblp.uni-trier.de/db/conf/dasfaa/
数据库/数据挖掘/内容检索,B,会议,ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,Springer,http://dblp.uni-trier.de/db/conf/ecml/ http://dblp.uni-trier.de/db/conf/pkdd/
数据库/数据挖掘/内容检索,B,会议,ISWC,IEEE International Semantic Web Conference,IEEE,http://dblp.uni-trier.de/db/conf/semweb/
数据库/数据挖掘/内容检索,B,会议,ICDM,IEEE International Conference on Data Mining,IEEE,http://dblp.uni-trier.de/db/conf/icdm/
数据库/数据挖掘/内容检索,B,会议,ICDT,International Conference on Database Theory,Springer,http://dblp.uni-trier.de/db/conf/icdt/
数据库/数据挖掘/内容检索,B,会议,EDBT,International Conference on Extending Database Technology,Springer,http://dblp.uni-trier.de/db/conf/edbt/
数据库/数据挖掘/内容检索,B,会议,CIDR,Conference on Innovative Data Systems Research,Online Proceeding,http://dblp.uni-trier.de/db/conf/cidr/
数据库/数据挖掘/内容检索,B,会议,SDM,SIAM International Conference on Data Mining,SIAM,http://dblp.uni-trier.de/db/conf/sdm/
数据库/数据挖掘/内容检索,B,会议,RecSys,ACM Conference on Recommender Systems,ACM,https://dblp.org/db/conf/recsys/index.html
数据库/数据挖掘/内容检索,B,会议,WISE,Web Information Systems Engineering Conference,Springer,http://dblp.uni-trier.de/db/conf/wise/
数据库/数据挖掘/内容检索,C,会议,APWeb,Asia Pacific Web Conference,Springer,http://dblp.uni-trier.de/db/conf/apweb/
数据库/数据挖掘/内容检索,C,会议,DEXA,International Conference on Database and Expert System Applications,Springer,http://dblp.uni-trier.de/db/conf/dexa/
数据库/数据挖掘/内容检索,C,会议,ECIR,European Conference on Information Retrieval,Springer,http://dblp.uni-trier.de/db/conf/ecir/
数据库/数据挖掘/内容检索,C,会议,ESWC,Extended Semantic Web Conference,Springer,http://dblp.uni-trier.de/db/conf/esws/
数据库/数据挖掘/内容检索,C,会议,WebDB,International Workshop on Web and Databases,ACM,http://dblp.uni-trier.de/db/conf/webdb/
数据库/数据挖掘/内容检索,C,会议,ER,International Conference on Conceptual Modeling,Springer,http://dblp.uni-trier.de/db/conf/er/
数据库/数据挖掘/内容检索,C,会议,MDM,International Conference on Mobile Data Management,IEEE,http://dblp.uni-trier.de/db/conf/mdm/
数据库/数据挖掘/内容检索,C,会议,SSDBM,International Conference on Scientific and Statistical Database Management,IEEE,http://dblp.uni-trier.de/db/conf/ssdbm/
数据库/数据挖掘/内容检索,C,会议,WAIM,International Conference on Web Age Information Management,Springer,http://dblp.uni-trier.de/db/conf/waim/
数据库/数据挖掘/内容检索,C,会议,SSTD,International Symposium on Spatial and Temporal Databases,Springer,https://dblp.uni-trier.de/db/conf/ssd/index.html
数据库/数据挖掘/内容检索,C,会议,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Springer,http://dblp.uni-trier.de/db/conf/pakdd/
数据库/数据挖掘/内容检索,C,会议,ADMA,International Conference on Advanced Data Mining and Applications,Springer,https://dblp.org/db/conf/adma/index.html
数据库/数据挖掘/内容检索,C,会议,WISA,Web Information Systems and Applications,Springer,https://dblp.uni-trier.de/db/conf/IEEEwisa/index.html
计算机科学理论,A,期刊,TIT,IEEE Transactions on Information Theory,IEEE,http://dblp.uni-trier.de/db/journals/tit/
计算机科学理论,A,期刊,IANDC,Information and Computation,Elsevier,http://dblp.uni-trier.de/db/journals/iandc/
计算机科学理论,A,期刊,SICOMP,SIAM Journal on Computing,SIAM,http://dblp.uni-trier.de/db/journals/siamcomp/
计算机科学理论,B,期刊,TALG,ACM Transactions on Algorithms,ACM,http://dblp.uni-trier.de/db/journals/talg/
计算机科学理论,B,期刊,TOCL,ACM Transactions on Computational Logic,ACM,http://dblp.uni-trier.de/db/journals/tocl/
计算机科学理论,B,期刊,TOMS,ACM Transactions on Mathematical Software,ACM,http://dblp.uni-trier.de/db/journals/toms/
计算机科学理论,B,期刊,Algorithmica,Algorithmica,Springer,http://dblp.uni-trier.de/db/journals/algorithmica/
计算机科学理论,B,期刊,CC,Computational Complexity,Springer,http://dblp.uni-trier.de/db/journals/cc/
计算机科学理论,B,期刊,FAC,Formal Aspects of Computing,Springer,http://dblp.uni-trier.de/db/journals/fac/
计算机科学理论,B,期刊,FMSD,Formal Methods in System Design,Springer,http://dblp.uni-trier.de/db/journals/fmsd/
计算机科学理论,B,期刊,INFORMS Journal on Computing,INFORMS Journal on Computing,INFORMS,http://dblp.uni-trier.de/db/journals/informs/
计算机科学理论,B,期刊,JCSS,Journal of Computer and System Sciences,Elsevier,http://dblp.uni-trier.de/db/journals/jcss/
计算机科学理论,B,期刊,JGO,Journal of Global Optimization,Springer,http://dblp.uni-trier.de/db/journals/jgo/
计算机科学理论,B,期刊,JSC,Journal of Symbolic Computation,Elsevier,http://dblp.uni-trier.de/db/journals/jsc/
计算机科学理论,B,期刊,MSCS,Mathematical Structures in Computer Science,Cambridge University Press,http://dblp.uni-trier.de/db/journals/mscs/
计算机科学理论,B,期刊,TCS,Theoretical Computer Science,Elsevier,http://dblp.uni-trier.de/db/journals/tcs/
计算机科学理论,C,期刊,ACTA,Acta Informatica,Springer,http://dblp.uni-trier.de/db/journals/acta/
计算机科学理论,C,期刊,APAL,Annals of Pure and Applied Logic,Elsevier,http://dblp.uni-trier.de/db/journals/apal/
计算机科学理论,C,期刊,DAM,Discrete Applied Mathematics,Elsevier,http://dblp.uni-trier.de/db/journals/dam/
计算机科学理论,C,期刊,FUIN,Fundamenta Informaticae,IOS Press,http://dblp.uni-trier.de/db/journals/fuin/
计算机科学理论,C,期刊,IPL,Information Processing Letters,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/
计算机科学理论,C,期刊,JCOMPLEXITY,Journal of Complexity,Elsevier,http://dblp.uni-trier.de/db/journals/jc/
计算机科学理论,C,期刊,LOGCOM,Journal of Logic and Computation,Oxford University Press,http://dblp.uni-trier.de/db/journals/logcom/
计算机科学理论,C,期刊,JSL,The Journal of Symbolic Logic,Association for Symbolic Logic,http://dblp.uni-trier.de/db/journals/jsyml/
计算机科学理论,C,期刊,LMCS,Logical Methods in Computer Science,LMCS,http://dblp.uni-trier.de/db/journals/lmcs/
计算机科学理论,C,期刊,SIDMA,SIAM Journal on Discrete Mathematics,SIAM,http://dblp.uni-trier.de/db/journals/siamdm/
计算机科学理论,C,期刊,Theory of Computing Systems,Theory of Computing Systems,Springer,http://dblp.uni-trier.de/db/journals/mst/
计算机科学理论,C,期刊,TQC,ACM Transactions in Quantum Computing,ACM,https://dblp.org/db/journals/tqc/index.html
计算机科学理论,A,会议,STOC,ACM Symposium on the Theory of Computing,ACM,http://dblp.uni-trier.de/db/conf/stoc/
计算机科学理论,A,会议,SODA,ACM-SIAM Symposium on Discrete Algorithms,SIAM,http://dblp.uni-trier.de/db/conf/soda/
计算机科学理论,A,会议,CAV,International Conference on Computer Aided Verification,Springer,http://dblp.uni-trier.de/db/conf/cav/
计算机科学理论,A,会议,FOCS,IEEE Annual Symposium on Foundations of Computer Science,IEEE,http://dblp.uni-trier.de/db/conf/focs/
计算机科学理论,A,会议,LICS,ACM/IEEE Symposium on Logic in Computer Science,IEEE,http://dblp.uni-trier.de/db/conf/lics/
计算机科学理论,B,会议,SoCG,International Symposium on Computational Geometry,ACM,https://dblp.uni-trier.de/db/conf/compgeom/index.html
计算机科学理论,B,会议,ESA,European Symposium on Algorithms,Springer,http://dblp.uni-trier.de/db/conf/esa/
计算机科学理论,B,会议,CCC,Conference on Computational Complexity,IEEE,http://dblp.uni-trier.de/db/conf/coco/
计算机科学理论,B,会议,ICALP,International Colloquium on Automata Languages and Programming,Springer,http://dblp.uni-trier.de/db/conf/icalp/
计算机科学理论,B,会议,CADE,Conference on Automated Deduction,Springer,http://dblp.uni-trier.de/db/conf/cade/
计算机科学理论,B,会议,CONCUR,International Conference on Concurrency Theory,Springer,http://dblp.uni-trier.de/db/conf/concur/
计算机科学理论,B,会议,HSCC,International Conference on Hybrid Systems: Computation and Control,Springer/ACM,http://dblp.uni-trier.de/db/conf/hybrid/
计算机科学理论,B,会议,SAT,International Conference on Theory and Applications of Satisfiability Testing,Springer,http://dblp.uni-trier.de/db/conf/sat/
计算机科学理论,B,会议,COCOON,International Computing and Combinatorics Conference,Springer,https://dblp.org/db/conf/cocoon/index.html
计算机科学理论,B,会议,FMCAD,Formal Methods in Computer-Aided Design,ACM,http://dblp.uni-trier.de/db/conf/fmcad/
计算机科学理论,C,会议,CSL,Computer Science Logic,Springer,http://dblp.uni-trier.de/db/conf/csl/
计算机科学理论,C,会议,FSTTCS,Foundations of Software Technology and Theoretical Computer Science,Indian Association for Research in Computing Science,http://dblp.uni-trier.de/db/conf/fsttcs/
计算机科学理论,C,会议,DSAA,IEEE International Conference on Data Science and Advanced Analytics,IEEE,https://dblp.uni-trier.de/db/conf/dsaa/
